city,tid,DA_all_pearson,DA_all_spearman,Zoe_all_pearson,Zoe_all_spearman,Zoe_MAE,DA_>15m_pearson,DA_>15m_spearman,Zoe_>15m_pearson,Zoe_>15m_spearman,DA_>20m_pearson,DA_>20m_spearman,Zoe_>20m_pearson,Zoe_>20m_spearman,DA_>30m_pearson,DA_>30m_spearman,Zoe_>30m_pearson,Zoe_>30m_spearman,DA_>40m_pearson,DA_>40m_spearman,Zoe_>40m_pearson,Zoe_>40m_spearman
Berlin,SV_Berlin_52.5317_13.4851.tif,0.6017116,0.5427524617791278,-0.4997627,-0.48587970759220167,2.754314,-0.0445949,-0.7295397764773308,0.18510365,0.7959171604713305,,,,,,,,,,,,
Berlin,SV_Berlin_52.5415_13.4359.tif,0.2848773,0.3186402677542107,0.22378072,0.24334959238737933,3.4079087,-0.40039116,-0.2777681137509565,-0.35656312,-0.42229356493256365,-0.8632211089134216,-0.7427905390420109,-0.45236486196517944,-0.35823604396823183,,,,,,,,
Berlin,SV_Berlin_52.5096_13.4825.tif,0.11065864,0.5223442104139362,-0.21611078,-0.10816212173981724,5.706297,-0.4951994,-0.5818989723300807,-0.6257067,-0.5132558217073995,-0.5731956362724304,-0.6312024821431104,-0.4213036298751831,-0.35036070287857723,-0.6207533478736877,-0.6878778094751802,-0.4298301339149475,-0.3524958757117026,-0.4122047424316406,-0.5673522840365899,-0.40259453654289246,-0.44238147372223285
Berlin,SV_Berlin_52.5056_13.4951.tif,0.044241004,0.07174963294048017,0.36050302,0.35877127728006863,5.5976877,0.18430793,0.18298817739301304,-0.16520679,-0.05055205165772375,-0.2129492610692978,-0.35804644406440767,-0.437338262796402,-0.14674862729142163,,,,,,,,
Berlin,SV_Berlin_52.5040_13.4361.tif,0.4450306,0.48921314879182287,0.000366571,-0.006616726574677429,6.6568155,0.0040074433,-0.0008092729846209404,-0.46473503,-0.3920867865468218,-0.08049138635396957,-0.050077279669633296,-0.28974130749702454,-0.2647374344653841,-0.7451224327087402,-0.6591872226502734,-0.6987852454185486,-0.7510956858884653,,,,
Copenhagen,SV_Copenhagen_55.6747_12.5414.tif,0.18665634,0.3372576397620873,-0.03350325,-0.09576701714678497,6.4790792,0.253966,0.30166374365318865,-0.30280158,-0.2756378824540749,-0.052384600043296814,-0.07228875006237255,0.4380905330181122,0.50887455662359,,,,,,,,
Copenhagen,SV_Copenhagen_55.6828_12.5583.tif,0.5088295,0.42670905355135014,-0.19710693,-0.23148286322450992,3.9657824,-0.13633439,-0.1674087655030187,0.23332347,0.20789859349445153,-0.34816688299179077,-0.3589430999668066,0.2523993253707886,0.25495094976974747,,,,,,,,
Copenhagen,SV_Copenhagen_55.6748_12.5454.tif,0.22661483,0.22453298092315488,-0.027356237,-0.002948848784341413,7.7424417,0.1073901,0.10037527394363217,-0.10294351,-0.12630553992116464,0.18897579610347748,0.09690049713178568,0.11850381642580032,0.08223707914096276,,,,,,,,
Copenhagen,SV_Copenhagen_55.6724_12.5589.tif,0.35789937,0.32809188179212506,-0.13996431,-0.10984288284038043,9.679686,0.02798954,-0.0737375135299871,0.12285008,0.1014936196799762,0.21940037608146667,0.057054523270091737,0.11041754484176636,0.19437650269625378,,,,,,,,
Copenhagen,SV_Copenhagen_55.6762_12.5631.tif,0.5812006,0.5883814495632114,-0.36509645,-0.3525779170839925,9.8118305,0.3172671,0.34191582728533987,-0.19564348,-0.2362759144826364,0.21236981451511383,0.2445418205917989,-0.18921878933906555,-0.30173456438151613,0.11867142468690872,0.037252550117024545,-0.08007653802633286,-0.07788924511927606,-0.1648077666759491,-0.12496076481319186,0.411484032869339,0.34909645894737307
NewYork,SV_NewYork_40.7373_-74.0034.tif,0.060195558,0.13305991010662951,0.3619715,0.44192467364882543,8.459489,-0.25188997,-0.22666863542560048,-0.020410327,0.09081003626502097,-0.25032758712768555,-0.32972863660407026,-0.06426757574081421,0.1330534125152761,-0.03291865438222885,0.24738949829484153,0.4800195097923279,0.5593710388618282,-0.22591926157474518,0.10641384043157147,0.529323160648346,0.5365026372136502
NewYork,SV_NewYork_40.7372_-73.9901.tif,0.15655458,0.28517626130611035,0.16566864,0.10565730176971856,16.751646,-0.29070744,-0.16573890120406443,0.34867823,0.18302365543740287,-0.32195883989334106,-0.21383424529097123,0.44954442977905273,0.2855182202856794,-0.4843338131904602,-0.3976451685315738,0.6088492274284363,0.47450217430862635,-0.6789383888244629,-0.6125225131473888,0.6819424629211426,0.5044160796604943
NewYork,SV_NewYork_40.7374_-74.0108.tif,-0.20359913,-0.33464618351122954,0.31164566,0.42483252764264373,9.414614,-0.0098440405,-0.04357625872699473,0.13917473,0.17526595849197377,0.0616159625351429,0.02107652082984146,0.1013757511973381,0.05066683211722628,0.03863095864653587,0.032825102900804745,0.021325860172510147,-0.012197778228826539,0.20424005389213562,0.25595658506023156,-0.08388631045818329,-0.17175762776271603
NewYork,SV_NewYork_40.7360_-74.0071.tif,0.10301823,0.09838527519497195,0.11838715,0.12824558458691585,8.4885025,0.45668247,0.4545049800274396,-0.25138023,-0.2697348498217167,0.2705324590206146,0.12331453170568839,-0.13399119675159454,-0.17003300374415883,0.8685224056243896,0.8267808582850432,0.8336688876152039,0.5935230019529638,0.2507628798484802,0.5941660877243704,0.342272013425827,-0.38276531927243973
NewYork,SV_NewYork_40.7400_-73.9852.tif,0.13804902,0.17852871396211434,0.016608536,0.04317163374095762,15.424716,-0.08307795,-0.07302592925592362,-0.040034436,-0.00519671665983965,-0.018900301307439804,-0.0017262318227765185,0.06827357411384583,0.1745725520122715,0.05272970348596573,0.108528167777171,-0.2182176560163498,-0.13388357588700125,0.14392367005348206,0.22025847190256886,-0.3359600305557251,-0.2553914181452146
