Feature,Type,Std Coefficient,Variance,P99 Correlation (R),Abs Coefficient
rgb_mean,Depth,-7.702450674570624,333.77943820610085,-0.1886334665124645,7.702450674570624
median_area_m2,Footprint,5.750255320948343,139443.46922302246,0.3345924850999733,5.750255320948343
n_buildings,Footprint,-5.731866785678598,64.1630859375,-0.15446095990399938,5.731866785678598
sat_mean,Depth,-4.685997396110561,571.4770739933313,0.14283669488162887,4.685997396110561
p90_area_m2,Footprint,-4.3781517053228365,1237159.8197176745,0.18846390005022312,4.3781517053228365
density,Footprint,4.095892585647974,0.03199586738956839,0.4030896018075233,4.095892585647974
pred_area_px,Footprint,4.095892585647969,137421204.04534912,0.4030896018075233,4.095892585647969
pred_area_m2,Footprint,4.0958925856479675,8588825.25283432,0.4030896018075233,4.0958925856479675
d_iqr,Depth,-3.9224465396362502,0.071544199684896,0.1556969411625132,3.9224465396362502
d_p10,Depth,-3.683790048034468,0.05852210314037935,-0.2845912354829308,3.683790048034468
mean_area_m2,Footprint,-3.659695110209941,235206.32251989504,0.23555891269067447,3.659695110209941
d_p90,Depth,3.3384576141892524,0.11406702663760979,0.018535611713545667,3.3384576141892524
grad_std,Depth,2.2325356839156,6.855845536675581e-05,0.35433819824287904,2.2325356839156
rgb_std,Depth,1.9299506855436106,63.855858940015054,0.12104012461403282,1.9299506855436106
d_range,Depth,1.9013910850161142,0.20886826657063373,0.17112806432176147,1.9013910850161142
d_mean,Depth,-1.7890316864891478,0.05148514699408013,-0.1356975653873682,1.7890316864891478
grad_mean,Depth,1.6006413135194029,1.6053710227829687e-05,0.32068673923086194,1.6006413135194029
edge_mean,Depth,-1.321066975237024,80.51680079622868,0.20243208656942355,1.321066975237024
mean_aspect_ratio,Footprint,1.195238972629424,0.008300347140619745,0.03344446902670999,1.195238972629424
largest_area_m2,Footprint,-0.5029750103951002,2658466.1064453125,0.19516151893621125,0.5029750103951002
mean_compactness,Footprint,-0.25310006605770363,0.00026563181824356937,-0.057730982741787014,0.25310006605770363
d_std,Depth,-0.1883408667693388,0.018533289808433523,0.17249133474181252,0.1883408667693388
d_med,Depth,-0.02972120149859886,0.06094830398608618,-0.10688472731359616,0.02972120149859886
