feature,pearson,spearman
dem_mean,0.6075665271814075,0.5471162142030784
dem_median,0.5818521644402502,0.5412378122824476
dem_p95,0.7143250876032167,0.6640870177280672
dem_range,0.7535766496393611,0.713758803089069
dem_std,0.7616074576907222,0.7212066331889869
d_mean,0.36072398887332324,0.38232307735069804
d_median,0.3727001460590505,0.3966869736090608
d_p90,0.44024733435590696,0.4673593518727859
d_p95,0.44908761989933543,0.47756535800457217
d_p99,0.45885313687656953,0.4896233540437228
d_std,0.5646223426067182,0.6816832110887394
d_range,0.5730137395975348,0.6830428994278799
area,0.459785046786281,0.6961996053808934
w_box,0.5860667065692805,0.7055685626106384
h_box,0.5478143269005843,0.6605050467569237
aspect_ratio,0.1316797212459166,0.09352145353398597
perimeter,0.5401537347519875,0.7010905468417473
compactness,0.3871175240187922,0.5176379363658955
