model,split,formulation,mae,rmse,pearson,spearman
Ridge,Copenhagen,Direct,3.023943995491074,4.6251663411719806,0.8868932942033122,0.8231589141381913
Ridge,Copenhagen,Delta_H,3.02445927640302,4.625787172977434,0.7218835939992602,0.5293106177494531
Ridge,Copenhagen,Reconstructed,3.02445927640302,4.625787172977434,0.8868574675304278,0.8231417901610434
Ridge,NewYork,Direct,8.678625067842717,12.310272249102955,0.815667099840308,0.8086078356186548
Ridge,NewYork,Delta_H,8.678913385740149,12.31069921353101,0.4807256890700133,0.4650744053073575
Ridge,NewYork,Reconstructed,8.678913385740149,12.31069921353101,0.8156513099308493,0.8085964047600278
RandomForest,Copenhagen,Direct,2.541844541612941,4.524396317040851,0.8940303444124044,0.8428944029781605
RandomForest,Copenhagen,Delta_H,2.522505899875702,4.382173753571285,0.7650142499127851,0.663903541680083
RandomForest,Copenhagen,Reconstructed,2.5225058998757017,4.382173753571285,0.9018284365380197,0.8382041028624314
RandomForest,NewYork,Direct,8.769473027525489,12.090826760807841,0.8546031862926297,0.8421245165295702
RandomForest,NewYork,Delta_H,9.40314195573767,12.68270417380813,0.49922799487198877,0.3616680301569366
RandomForest,NewYork,Reconstructed,9.40314195573767,12.682704173808128,0.8339710315214196,0.8083159245904814
GradientBoosting,Copenhagen,Direct,2.8827821349538945,4.617646587180391,0.8923132302591195,0.8273382014971354
GradientBoosting,Copenhagen,Delta_H,2.749399326685967,4.4617072586047515,0.7473589177390954,0.635092480117389
GradientBoosting,Copenhagen,Reconstructed,2.749399326685967,4.4617072586047515,0.8963623990814795,0.8430670407943143
GradientBoosting,NewYork,Direct,9.425381452850562,12.745176998489251,0.8379863019402346,0.8287753416315824
GradientBoosting,NewYork,Delta_H,9.479894454090797,12.804886394124184,0.49787280456293964,0.37540332797676235
GradientBoosting,NewYork,Reconstructed,9.479894454090797,12.804886394124184,0.8293155403601299,0.798376466840557
