component_id,area_px,area_m2,bbox_x,bbox_y,bbox_w,bbox_h,bbox_aspect,centroid_x,centroid_y,contour_vertices,contour_area,mask_area,image_occupancy_pct,building_mask_pct,perimeter,status,classification,suspicious_reasons,scene
1,2964,741.0,0,0,122,82,1.49,40.3,21.8,68,2777.0,2964,1.13,5.09,436.2,Valid,Legitimate Building,None,SV_NewYork_40.7401_-73.9915.tif
2,744,186.0,148,0,64,24,2.67,171.4,8.6,22,673.0,744,0.28,1.28,156.2,Valid,Legitimate Building,None,SV_NewYork_40.7401_-73.9915.tif
3,156,39.0,402,0,42,6,7.0,423.7,1.9,13,106.0,156,0.06,0.27,89.2,Suspicious,Irregular Boundary,aspect=7.00 extreme,SV_NewYork_40.7401_-73.9915.tif
4,2492,623.0,448,0,64,68,0.94,480.1,29.5,53,2371.0,2492,0.95,4.28,317.7,Valid,Legitimate Building,None,SV_NewYork_40.7401_-73.9915.tif
5,28,7.0,308,2,14,2,7.0,314.5,2.5,2,0.0,28,0.01,0.05,26.1,Suspicious,Irregular Boundary,aspect=7.00 extreme,SV_NewYork_40.7401_-73.9915.tif
6,12,3.0,348,2,6,2,3.0,350.5,2.5,2,0.0,12,0.0,0.02,10.2,Valid,Legitimate Building,None,SV_NewYork_40.7401_-73.9915.tif
7,41204,10301.0,0,76,512,436,1.17,275.3,413.8,495,39768.0,41204,15.72,70.8,3045.3,Suspicious,Merged/Complex,bw=512 > 65% w; bh=436 > 65% h; high_compactness_ratio,SV_NewYork_40.7401_-73.9915.tif
8,20,5.0,260,108,6,4,1.5,262.1,109.7,4,10.5,20,0.01,0.03,13.9,Valid,Legitimate Building,None,SV_NewYork_40.7401_-73.9915.tif
9,96,24.0,94,122,10,18,0.56,99.0,130.9,12,72.5,96,0.04,0.16,43.5,Valid,Legitimate Building,None,SV_NewYork_40.7401_-73.9915.tif
10,72,18.0,4,138,10,10,1.0,7.6,142.7,7,61.0,72,0.03,0.12,29.9,Valid,Legitimate Building,None,SV_NewYork_40.7401_-73.9915.tif
