scene,building_id,area_m2,z_ground_m,z_roof_m,height_m,centroid_x,centroid_z,classification
SV_NewYork_40.7401_-73.9915.tif,1,732.0,61.67,121.05,59.38,-108.07,-117.1,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,2,175.0,70.35,100.33,29.98,-42.85,-123.54,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,3,32.0,71.02,102.16,31.14,84.59,-127.16,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,4,621.0,71.06,92.92,21.86,112.07,-113.22,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,5,95.5,71.4,111.18,39.78,117.19,-21.45,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,6,688.5,78.25,129.65,51.41,-116.64,33.69,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,7,322.0,77.44,120.32,42.88,117.05,77.7,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,8,151.5,85.04,130.15,45.11,-118.62,83.64,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,9,1097.0,93.58,148.98,55.41,107.36,113.34,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,10,372.2,85.16,117.31,32.15,-118.59,113.8,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,11,522.2,85.56,122.15,36.6,21.21,116.01,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,12,264.5,87.89,128.79,40.91,63.76,117.8,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,13,306.8,78.33,110.06,31.73,-81.7,120.32,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,14,372.5,78.16,114.06,35.9,-35.29,121.28,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,15,4.0,72.57,80.48,7.91,2.75,-73.25,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,16,22.0,61.0,79.73,18.73,-78.48,-62.52,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,17,17.0,56.18,64.07,7.89,-124.34,-56.63,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,18,145.0,62.13,86.13,24.01,-60.65,-27.37,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,19,1110.0,80.21,108.2,27.99,38.19,20.4,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,20,41.0,89.59,106.45,16.86,49.15,5.01,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,21,4.0,89.66,108.74,19.08,57.75,45.75,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,22,8.0,85.7,92.28,6.58,85.12,46.12,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,23,55.0,73.88,109.27,35.4,-91.11,60.1,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,24,4.0,73.95,106.53,32.58,-81.25,61.75,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,25,287.0,81.47,101.7,20.23,16.76,72.54,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,26,57.0,75.7,104.95,29.24,-56.21,73.76,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,27,14.0,77.77,110.74,32.97,-42.75,71.89,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,28,766.0,77.41,100.63,23.22,-29.2,88.14,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,29,18.0,83.96,97.62,13.66,50.58,82.25,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,30,21.0,84.3,105.3,21.0,40.96,87.39,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,31,10.0,84.28,103.73,19.45,46.75,88.45,REAL_BUILDING
SV_NewYork_40.7401_-73.9915.tif,32,30.0,84.32,99.22,14.91,42.25,96.75,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,1,555.8,87.77,118.12,30.36,13.33,-119.83,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,2,398.8,60.53,100.63,40.1,-112.49,-83.79,REAL_BUILDING
SV_NewYork_40.7333_-73.9835.tif,3,685.2,63.44,98.89,35.45,80.11,-80.7,REAL_BUILDING
