scene,component_id,pixel_area,area_m2,bbox_width,bbox_height,bbox_area,aspect_ratio,centroid_x,centroid_y,mean_height_m,median_height_m,P75_height_m,P95_height_m,max_height_m
SV_NewYork_40.7401_-73.9915.tif,1,2964,741.0,122,82,10004,1.49,40.3,21.8,42.88,44.08,54.58,60.88,62.28
SV_NewYork_40.7401_-73.9915.tif,2,744,186.0,64,24,1536,2.67,171.4,8.6,22.74,20.76,28.58,37.35,40.64
SV_NewYork_40.7401_-73.9915.tif,3,156,39.0,42,6,252,7.0,423.7,1.9,27.24,27.69,30.82,32.02,32.4
SV_NewYork_40.7401_-73.9915.tif,4,2492,623.0,64,68,4352,0.94,480.1,29.5,16.68,15.38,21.99,28.26,32.31
SV_NewYork_40.7401_-73.9915.tif,5,28,7.0,14,2,28,7.0,314.5,2.5,5.05,5.09,5.2,5.28,5.3
SV_NewYork_40.7401_-73.9915.tif,6,12,3.0,6,2,12,3.0,350.5,2.5,3.42,3.42,3.42,3.42,3.42
SV_NewYork_40.7401_-73.9915.tif,7,41204,10301.0,512,436,223232,1.17,275.3,413.8,32.74,31.18,38.33,49.83,58.02
SV_NewYork_40.7401_-73.9915.tif,8,20,5.0,6,4,24,1.5,262.1,109.7,8.66,8.67,9.04,9.36,9.52
SV_NewYork_40.7401_-73.9915.tif,9,96,24.0,10,18,180,0.56,99.0,130.9,17.66,17.53,18.99,20.75,22.14
SV_NewYork_40.7401_-73.9915.tif,10,72,18.0,10,10,100,1.0,7.6,142.7,7.11,7.3,8.66,10.01,10.03
SV_NewYork_40.7401_-73.9915.tif,11,580,145.0,32,26,832,1.23,134.7,201.3,20.94,21.02,24.08,26.12,26.9
SV_NewYork_40.7401_-73.9915.tif,12,4460,1115.0,130,168,21840,0.77,332.5,297.0,18.14,17.89,22.15,26.88,30.09
SV_NewYork_40.7401_-73.9915.tif,13,4,1.0,2,2,4,1.0,128.5,220.5,24.07,24.07,24.22,24.25,24.25
SV_NewYork_40.7401_-73.9915.tif,14,172,43.0,16,22,352,0.73,354.6,265.4,15.97,15.84,17.07,18.93,20.28
SV_NewYork_40.7401_-73.9915.tif,15,16,4.0,4,6,24,0.67,123.5,336.5,7.78,7.75,8.38,9.54,9.62
SV_NewYork_40.7401_-73.9915.tif,16,32,8.0,8,8,64,1.0,370.2,348.0,18.88,19.01,20.11,20.53,20.68
SV_NewYork_40.7401_-73.9915.tif,17,40,10.0,8,8,64,1.0,425.7,348.9,6.22,6.31,7.11,7.79,8.39
SV_NewYork_40.7401_-73.9915.tif,18,224,56.0,28,18,504,1.56,73.5,376.1,33.08,32.9,35.57,39.01,40.39
