component_id,classification,pixel_area,bbox_w,bbox_h,centroid_x,centroid_y,ndsm_mean,ndsm_p75,ndsm_p95,ndsm_max
1,REAL_BUILDING,2928,112,82,39.9,21.8,43.08,54.7,60.88,62.28
2,REAL_BUILDING,700,44,24,170.3,8.9,22.31,27.6,36.54,40.64
3,REAL_BUILDING,128,30,6,425.2,1.7,28.03,30.96,32.02,32.4
4,REAL_BUILDING,2484,64,68,480.1,29.6,16.66,21.93,28.27,32.31
5,MERGED/MEGA,41144,512,434,275.3,413.8,32.75,38.34,49.84,58.02
6,REAL_BUILDING,16,4,4,261.5,109.5,8.79,9.11,9.4,9.52
7,REAL_BUILDING,88,10,14,99.0,131.0,17.87,19.09,20.81,22.14
8,REAL_BUILDING,68,8,10,7.3,142.7,7.11,8.67,10.01,10.03
9,REAL_BUILDING,580,32,26,134.7,201.3,20.94,24.08,26.12,26.9
10,REAL_BUILDING,4440,130,166,332.4,296.8,18.12,22.08,26.87,30.09
11,REAL_BUILDING,164,16,18,354.3,266.0,16.05,17.14,18.93,20.28
12,REAL_BUILDING,16,4,4,371.5,347.5,19.59,20.16,20.58,20.68
13,REAL_BUILDING,32,6,6,426.2,348.2,5.91,6.63,7.24,7.3
14,REAL_BUILDING,220,26,18,73.8,376.2,33.21,35.64,39.04,40.39
15,REAL_BUILDING,16,4,4,93.5,379.5,32.26,33.25,34.19,34.26
16,REAL_BUILDING,1148,46,44,289.5,401.1,15.08,17.77,21.09,22.23
17,REAL_BUILDING,228,18,24,143.6,403.5,27.03,29.52,31.17,32.26
18,REAL_BUILDING,56,10,8,170.5,399.8,31.9,33.5,35.4,36.07
19,REAL_BUILDING,3064,84,60,197.6,432.3,18.82,23.05,27.51,39.72
20,REAL_BUILDING,72,8,10,357.2,420.5,12.72,13.91,15.15,15.93
21,REAL_BUILDING,84,12,10,337.9,430.8,20.84,21.47,21.93,22.19
22,REAL_BUILDING,40,8,6,349.5,432.9,19.38,19.92,20.45,20.67
23,REAL_BUILDING,120,14,12,340.5,449.5,13.71,15.3,16.83,17.6
