feature,copenhagen,new_york,mean_shift,median_shift,std_ratio,normalized_mean_shift
rgb_r_mean,0.2807030505921005,0.372578555422183,0.0918755048300825,0.0941176563501358,0.7592137826675739,0.48730397388971086
rgb_g_mean,0.2903217327216861,0.4092805186600489,0.11895878593836279,0.1294117569923401,0.5351239333376242,0.6193290404832406
rgb_b_mean,0.2654238739474977,0.3408870052261215,0.07546313127862375,0.07450981438159943,0.44255551842918356,0.40981980075437474
brightness,0.2788162238343998,0.37424869035129193,0.09543246651689213,0.09865996241569519,0.4965952299258586,2.2104450945626444
contrast,0.1826371307036391,0.11290838252063151,-0.06972874818300759,-0.06560839340090752,0.6429935918967756,-3.816702134785319
saturation,0.21705299232982928,0.21225451884998214,-0.004798473479847132,-0.0017569735646247864,0.5335239854866175,-0.10806805364466626
model_probability,0.5710662778645832,0.14702960352832065,-0.4240366743362626,-0.5171230956912041,0.6348363562548226,-1.3834911185538676
depth,1.4610404798146193,1.9859756978208822,0.524935218006263,0.556153416633606,1.0922499729691637,0.9181430195688237
dsm,6.852188037004061,12.429474852477188,5.577286815473127,0.0,1.9350889415988997,0.30654286508884604
ndsm,2.083296207661496,3.907109362879609,1.8238131552181134,0.0,1.9256748064860112,0.18596089725619688
dtm,4.768891829201588,8.522365489224473,3.753473660022885,0.0,1.8844972256742827,0.2359782995343077
