bin,count,percentage,mean,median,p95,split
<10m,1473,32.30263157894737,6.408223737929034,6.576573848724365,9.610768699645996,copenhagen
10-20m,1689,37.03947368421053,15.22609690309912,14.958842277526855,19.752556610107423,copenhagen
20-30m,1330,29.166666666666668,22.421821750554823,21.744709968566895,27.403488063812254,copenhagen
30-40m,37,0.8114035087719298,34.160210996060755,33.93524169921875,39.675062561035155,copenhagen
>=40m,31,0.6798245614035088,59.12112057593561,58.608680725097656,75.77204895019531,copenhagen
<10m,53,2.1964359718193123,6.849492927767196,7.697178363800049,9.548097610473633,new_york
10-20m,456,18.89763779527559,16.201250755996035,16.52599334716797,19.49638795852661,new_york
20-30m,649,26.89598010774969,23.752732222546783,23.09820556640625,28.95668296813965,new_york
30-40m,316,13.095731454620804,35.40400924561899,35.81466865539551,39.66004467010498,new_york
>=40m,939,38.914214670534605,56.6287872265703,51.98095703125,85.45200271606446,new_york
