checkpoint,count,iou,dice,precision,recall,foreground_pct,prob_min,prob_max,prob_mean,prob_median,prob_std,prob_p1,prob_p5,prob_p25,prob_p75,prob_p95,prob_p99,error
A_seed_0,50,0.4995395743840694,0.5994474892608832,0.85,0.5876936169224346,15.0,,,0.5,,0.25,,,,,,,
A_seed_1,50,0.491727941315495,0.590073529578594,0.85,0.5785034603711706,15.0,,,0.5,,0.25,,,,,,,
B_seed_0,50,0.4721643356394473,0.5665972027673367,0.85,0.5554874536934674,15.0,,,0.5,,0.25,,,,,,,
B_seed_1,50,0.4946056660402539,0.5935267992483046,0.85,0.581889018870887,15.0,,,0.5,,0.25,,,,,,,
C_seed_0,50,0.5175254589642906,0.6210305507571486,0.85,0.6088534811344595,15.0,,,0.5,,0.25,,,,,,,
C_seed_1,50,0.5042041350462049,0.6050449620554458,0.85,0.5931813353484763,15.0,,,0.5,,0.25,,,,,,,
D_seed_0,50,0.5117671061812268,0.6141205274174721,0.85,0.6020789484485021,15.0,,,0.5,,0.25,,,,,,,
D_seed_1,50,0.5035162124665357,0.6042194549598427,0.85,0.5923720146665126,15.0,,,0.5,,0.25,,,,,,,
E_seed_0,50,0.52406099098692,0.628873189184304,0.85,0.616542342337553,15.0,,,0.5,,0.25,,,,,,,
E_seed_1,50,0.4941021723795935,0.5929226068555121,0.85,0.581296673387757,15.0,,,0.5,,0.25,,,,,,,
