phase,region,metric,reported_value,reproduced_value,unit,normalization_state,explanation
PHASE_69_BASELINE,uttarakhand,mae,261.6556389412233,261.6556389412233,meters,raw DEM compared to raw DEM after affine fit; not normalized,"Phase 69 used a linear affine map from relative depth output to raw DEM values before computing MAE, so the scale is in meters but unrelated to the normalized pilot target."
PHASE_69_BASELINE,uttarakhand,rmse,312.8976516342553,312.8976516342553,meters,raw DEM compared to raw DEM after affine fit; not normalized,Same raw DEM/raster units as above.
PHASE_69_BASELINE,uttarakhand,pearson,0.27694971204768243,0.27694971204768243,unitless,raw DEM compared to raw DEM after affine fit; not normalized,Pearson correlation from raw DEM-aligned prediction after affine fit.
PHASE_69_BASELINE,himachal,mae,3.146186188645415,3.146186188645415,meters,raw DEM compared to raw DEM after affine fit; not normalized,"Phase 69 used a linear affine map from relative depth output to raw DEM values before computing MAE, so the scale is in meters but unrelated to the normalized pilot target."
PHASE_69_BASELINE,himachal,rmse,3.8120335769001787,3.8120335769001787,meters,raw DEM compared to raw DEM after affine fit; not normalized,Same raw DEM/raster units as above.
PHASE_69_BASELINE,himachal,pearson,0.25099296114950537,0.25099296114950537,unitless,raw DEM compared to raw DEM after affine fit; not normalized,Pearson correlation from raw DEM-aligned prediction after affine fit.
PHASE_69_BASELINE,sikkim,mae,442.10391557455137,442.10391557455137,meters,raw DEM compared to raw DEM after affine fit; not normalized,"Phase 69 used a linear affine map from relative depth output to raw DEM values before computing MAE, so the scale is in meters but unrelated to the normalized pilot target."
PHASE_69_BASELINE,sikkim,rmse,534.2998814626391,534.2998814626391,meters,raw DEM compared to raw DEM after affine fit; not normalized,Same raw DEM/raster units as above.
PHASE_69_BASELINE,sikkim,pearson,0.287712728260807,0.287712728260807,unitless,raw DEM compared to raw DEM after affine fit; not normalized,Pearson correlation from raw DEM-aligned prediction after affine fit.
PHASE_69_ONE_EPOCH,himachal,mae,0.4696850990241064,0.23062567757659444,normalized target units,"target normalized to [0,1] using train-region statistics and reported without inverse transform","This path compares the model output directly against a normalized DEM target, so the values are not in meters and are not comparable to the baseline raw-meter fit."
PHASE_69_ONE_EPOCH,himachal,rmse,0.4848154914801315,0.2584147003624367,normalized target units,"target normalized to [0,1] using train-region statistics and reported without inverse transform","This path compares the model output directly against a normalized DEM target, so the values are not in meters and are not comparable to the baseline raw-meter fit."
PHASE_69_ONE_EPOCH,himachal,pearson,-0.22236876938022607,0.6025718145863356,normalized target units,"target normalized to [0,1] using train-region statistics and reported without inverse transform","This path compares the model output directly against a normalized DEM target, so the values are not in meters and are not comparable to the baseline raw-meter fit."
PHASE_69_ONE_EPOCH,sikkim,mae,0.5587155676053546,0.5587155677918134,normalized target units,"target normalized to [0,1] using train-region statistics and reported without inverse transform","This path compares the model output directly against a normalized DEM target, so the values are not in meters and are not comparable to the baseline raw-meter fit."
PHASE_69_ONE_EPOCH,sikkim,rmse,0.5938657845254632,0.5938657847931266,normalized target units,"target normalized to [0,1] using train-region statistics and reported without inverse transform","This path compares the model output directly against a normalized DEM target, so the values are not in meters and are not comparable to the baseline raw-meter fit."
PHASE_69_ONE_EPOCH,sikkim,pearson,-0.04067581093959295,-0.04067590510725672,normalized target units,"target normalized to [0,1] using train-region statistics and reported without inverse transform","This path compares the model output directly against a normalized DEM target, so the values are not in meters and are not comparable to the baseline raw-meter fit."
