region,source,path,width,height,count,dtype,crs,transform,bounds,resolution,nodata,min,max,mean,finite_fraction,zero_fraction
uttarakhand,B02,C:\Users\chand\OneDrive\Desktop\DepthWizard\runs\phase68_india_benchmark_ready\ORIGINAL_DATA\uttarakhand\uttarakhand_B02.tif,10980,10980,1,uint16,EPSG:32644,"[10.0, 0.0, 399960.0, 0.0, -10.0, 3400020.0, 0.0, 0.0, 1.0]","[399960.0, 3290220.0, 509760.0, 3400020.0]","(10.0, 10.0)",0.0,0.0,19453.0,2710.7250172195845,1.0,0.5027979419444527
uttarakhand,B03,C:\Users\chand\OneDrive\Desktop\DepthWizard\runs\phase68_india_benchmark_ready\ORIGINAL_DATA\uttarakhand\uttarakhand_B03.tif,10980,10980,1,uint16,EPSG:32644,"[10.0, 0.0, 399960.0, 0.0, -10.0, 3400020.0, 0.0, 0.0, 1.0]","[399960.0, 3290220.0, 509760.0, 3400020.0]","(10.0, 10.0)",0.0,0.0,18223.0,2579.2526981828196,1.0,0.5027965484520622
uttarakhand,B04,C:\Users\chand\OneDrive\Desktop\DepthWizard\runs\phase68_india_benchmark_ready\ORIGINAL_DATA\uttarakhand\uttarakhand_B04.tif,10980,10980,1,uint16,EPSG:32644,"[10.0, 0.0, 399960.0, 0.0, -10.0, 3400020.0, 0.0, 0.0, 1.0]","[399960.0, 3290220.0, 509760.0, 3400020.0]","(10.0, 10.0)",0.0,0.0,17314.0,2512.681337835641,1.0,0.502796457211489
uttarakhand,DEM,C:\Users\chand\OneDrive\Desktop\DepthWizard\runs\phase68_india_benchmark_ready\ORIGINAL_DATA\uttarakhand\uttarakhand_dem.tif,3600,3600,1,float32,EPSG:4326,"[0.0002777777777777778, 0.0, 79.99986111111112, 0.0, -0.0002777777777777778, 31.000138888888888, 0.0, 0.0, 1.0]","[79.99986111111112, 30.000138888888888, 80.99986111111112, 31.000138888888888]","(0.0002777777777777778, 0.0002777777777777778)",,1066.9984130859375,7095.39501953125,4577.14599609375,1.0,0.0
himachal,B02,C:\Users\chand\OneDrive\Desktop\DepthWizard\runs\phase68_india_benchmark_ready\ORIGINAL_DATA\himachal\himachal_B02.tif,10980,10980,1,uint16,EPSG:32643,"[10.0, 0.0, 499980.0, 0.0, -10.0, 3500040.0, 0.0, 0.0, 1.0]","[499980.0, 3390240.0, 609780.0, 3500040.0]","(10.0, 10.0)",0.0,0.0,11992.0,2474.2687444716507,1.0,7.80521630651524e-06
himachal,B03,C:\Users\chand\OneDrive\Desktop\DepthWizard\runs\phase68_india_benchmark_ready\ORIGINAL_DATA\himachal\himachal_B03.tif,10980,10980,1,uint16,EPSG:32643,"[10.0, 0.0, 499980.0, 0.0, -10.0, 3500040.0, 0.0, 0.0, 1.0]","[499980.0, 3390240.0, 609780.0, 3500040.0]","(10.0, 10.0)",0.0,0.0,15896.0,2638.025715425629,1.0,2.8201631713232535e-07
himachal,B04,C:\Users\chand\OneDrive\Desktop\DepthWizard\runs\phase68_india_benchmark_ready\ORIGINAL_DATA\himachal\himachal_B04.tif,10980,10980,1,uint16,EPSG:32643,"[10.0, 0.0, 499980.0, 0.0, -10.0, 3500040.0, 0.0, 0.0, 1.0]","[499980.0, 3390240.0, 609780.0, 3500040.0]","(10.0, 10.0)",0.0,0.0,18216.0,2613.1530187690155,1.0,1.7667492808583912e-06
himachal,DEM,C:\Users\chand\OneDrive\Desktop\DepthWizard\runs\phase68_india_benchmark_ready\ORIGINAL_DATA\himachal\himachal_dem.tif,3600,3600,1,float32,EPSG:4326,"[0.0002777777777777778, 0.0, 75.99986111111112, 0.0, -0.0002777777777777778, 31.000138888888888, 0.0, 0.0, 1.0]","[75.99986111111112, 30.000138888888888, 76.99986111111112, 31.000138888888888]","(0.0002777777777777778, 0.0002777777777777778)",,225.5,1922.722900390625,294.196533203125,1.0,0.0
sikkim,B02,C:\Users\chand\OneDrive\Desktop\DepthWizard\runs\phase68_india_benchmark_ready\ORIGINAL_DATA\sikkim\sikkim_B02.tif,10980,10980,1,uint16,EPSG:32645,"[10.0, 0.0, 499980.0, 0.0, -10.0, 3100020.0, 0.0, 0.0, 1.0]","[499980.0, 2990220.0, 609780.0, 3100020.0]","(10.0, 10.0)",0.0,0.0,19192.0,765.8311523518502,1.0,0.6471321677764839
sikkim,B03,C:\Users\chand\OneDrive\Desktop\DepthWizard\runs\phase68_india_benchmark_ready\ORIGINAL_DATA\sikkim\sikkim_B03.tif,10980,10980,1,uint16,EPSG:32645,"[10.0, 0.0, 499980.0, 0.0, -10.0, 3100020.0, 0.0, 0.0, 1.0]","[499980.0, 2990220.0, 609780.0, 3100020.0]","(10.0, 10.0)",0.0,0.0,17960.0,808.3671641019771,1.0,0.647130799167886
sikkim,B04,C:\Users\chand\OneDrive\Desktop\DepthWizard\runs\phase68_india_benchmark_ready\ORIGINAL_DATA\sikkim\sikkim_B04.tif,10980,10980,1,uint16,EPSG:32645,"[10.0, 0.0, 499980.0, 0.0, -10.0, 3100020.0, 0.0, 0.0, 1.0]","[499980.0, 2990220.0, 609780.0, 3100020.0]","(10.0, 10.0)",0.0,0.0,17240.0,803.8806297009631,1.0,0.6471305088569713
sikkim,DEM,C:\Users\chand\OneDrive\Desktop\DepthWizard\runs\phase68_india_benchmark_ready\ORIGINAL_DATA\sikkim\sikkim_dem.tif,3600,3600,1,float32,EPSG:4326,"[0.0002777777777777778, 0.0, 87.99986111111112, 0.0, -0.0002777777777777778, 28.000138888888888, 0.0, 0.0, 1.0]","[87.99986111111112, 27.000138888888888, 88.99986111111112, 28.000138888888888]","(0.0002777777777777778, 0.0002777777777777778)",,183.0,8564.2939453125,3389.82373046875,1.0,0.0
